letter_id,date,sender,recipient,opens,closes,ruling_sender,ruling_recipient
1,1815,,von Triebenfeld,"Hochwohlgeborner Herr, / Hochzuehrender Herr Krieges und Forst Rath! /","nichts mehr hinzufügen, sondern nur noch wie stets meine dankbare Freu",,
1a,[1815-02-12],,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigster Fürst / Gnädigster Fürst und Herr! / Ewr Hochfürstli,Ew. Hochfürstl. Durchlaucht / unterthäniger diener / Wien d. 12. in Fe,,
3,[1815-02-09],,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Zwey Briefe vom 19ten und 28ten Januar habe ich erhalten mehr nicht. /,Geld sicher und die Papiere schnell - Beharrzige sie das / ihr Pro mem,,
4,Wien d 19ten Mertz 1815 – Nun komm nach Eberhard,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigster Fürst / Gnädiger Herr / Die Napoleonſche Geſchichte ,Aus Pohlen hätte mann gerne sehr sichere Nachrichten wie diese Nace do,,
8,[1815-03],,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",den Augenblick als mich niedersezte um Ewr Durchlaucht zu schreiben er,meine arme Tochter — Fürst helfen / Sie oder mich hohlt der Teufel / M,,
9,,,,(skipped),(skipped),,
12,4. Merz 1815,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen","Schicken Ewer durchlaucht die 200 Ducaten eiligst, oder ich muß mich t",Projut zur Constitution hergeschickt - darauf aber nicht geachtet / Au,,
13,1815,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Für Ein Durchlaucht ganz allein. / Die Sache ist nicht zum Besten ad P,ich viel schreiben. / Der gute Barbe hat einen andern Translator aufge,,
14,Brzeg d 21ten Febr. 1815,,,Lösen Sie mir Theuerstag Freund das Räthsel: warum dH Staats lang durc,verfügt. Es müßen Lügen sind / Wenn es nur möglich wäre daß Eberhard s,,
15,ad 19. Febr. 1815,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigster Fürst / Gnädigster Herr / Ich ward ahngeſtern befrag,"über mich gebieten, so wird er mich auch nachher vertheidigen — / Scha",,
19,2) 6. Juli 1812,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Anhang. / 2) 6. Juli 1812 / Die Sache mit dHern vor Sobottendorff ist ,böser Mensch er sagte er habe keinen Groschen auf der Rückreise / auch,,
20,1809,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Unterthänigstes Pro Memoria / Aus das beigebogene Schreiben des Geheim,wie in Blanqueth zu Ho¬ / Ewr / Schlawenschitz den 7ten März / 1809,,
23,1810,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigster Fürst / Gnädigſter Fürſt und Herr! / Eur Durchlaucht,Lombardini hat die 150 Rthl an meinen armen Kinder nicht gegeben / 1 E,,
24,1806.,,von Triebenfeld,Hochwohlgeborner Herr / Hochzuehrender Herr Geheimer Rath! / durch die,Oppenheimer und Wolff 110000 / Bornstädt 5000 / Diversè Schulden circa,,
27,1807,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigster Fürst / Gnädigster Fürst und Herr! / Ob dies Schreib,treu gehorsamster Diener / Breslau d. 19ten 8br. / 1807 / Peter,,
28,1807.,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigster Fürst / Gnädigster Herr! / ich eile Ew Hochfürstlich,Peisern d 5. Octobr. / 1807. / erthänigster. / Hawich,,
29,1808,,von Triebenfeld,"Hochwohlgeborner Herr, / Höchst zu verehrender Herr Kriegs-Rath! / als",treu gehorſamſt / d. 10. Februar / Bal[?] / 1808,,
30,1808.,von Triebenfeld,,Abschrift / Euer Hochfürstlichen Durchlaucht höchst gnädiges Schreiben,v. Triebenfeld / Berlin / d. 14. März. / 1808.,,
36,[Öh?] 13 März 1808,,,Cococe[?]t Schreibens an des Herrn / KriegsRath v. Triebenfeld / Ehefr,bädigſt zukom_ zu laſſen. / Ew. Hochw. / [Öh?] 13 März 1808 / Ihr Hoch,,
40,1808.,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigſter Fürſt. / Gnädigster Fürst und Herr! / Eine Hochfürst,Berlin den 9ten July / treu gehorsamster Diener / 1808. / Peter[s?],,
41,Ber[lin?] den 20ten 7br 1808,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigſter Fürſt / Gnädigſter Fürſt und Herr / Ewr Hochfürstlic,Ber[lin?] den 20ten 7br 1808 / Ew Hochfürstliche Durchlaucht / unterth,,
46,Berl. d 2 Marz 1809,,,Mein Theuerste Freund! / Das Scheiben des Fürsten von Hohenlohe durchl,Ihre / Berl. d 2 Marz 1809 / Ganz ergebensten dienet u Frau / Amelang,,
50,1809.,,,Ich war im Jahr 1808 bis zum 14ten Febr / der zavaliden Casse die Zins,Schlawenschitz / d. 8. April / 1809. / allergehorsamster,,
53,1809,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigſter Fürſt / Gnädigster Fürst und Herr! / Euer Hochfürstl,d. 13ten May / 1809 / treu unterthäniger Dies / Peter,,
56,1809.,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigster Fürst / Gnädigster Fürst und Herr! / Noch bis jezt l,217 Leuth Eysen des allerbaldigsten hierher geschickt werden damit / s,,
61,1809.,,von Triebenfeld,Wohlgeborner Herr / Hochzuverehrender Herr Hofrath. / Ewr Wohlgeborn h,Kontop den 31ten August / 1809. / treuergebener Freund und Diener / v ,,
62,[1809-09],,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Nun weiß ich nicht mehr was ich denken soll 5 Briefe habe ich abgeschi,"im Massakrop 1156 / Solten indes die Posten würklich schuld sein, so g",,
63,[1809-12-16],,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigster Fürst / Gnädigster Fürst und Herr / So eben war ich ,Hawich aufgesezten Denuncianten ist nun beim Praesidio / des Criminal ,,
64,"v. Triebenfeld, 6 Xbr 1809",,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Den Augenblick erhalte ich von Freund F aus Berlin die Nachricht / daß,"Durchlaucht, die sie auf ein einmahle zu retten, den / Händsche, Allei",,
67,"Johanni 1812 dauern — Auch dies glaube ich nicht, dagegen wird",,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigſter Fürſt / Gnädigster Fürst und Herr! / Ewer Durchlauch,"Mit dem Spiritus und Eysen wäre viel zu machen, da von Ewr / Durchlauc",,
69,1810.,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen","Durchlauchtigſter Fürſt, / Gnädigster Fürst und Herr! / fuer Hochfürst",d. 26ten febr. / 1810. / unterthänigst treu gehorsamte / Bally,,
72,[1812-02-23],,von Triebenfeld,"Hochwohlgebohrner Herr, / Hochgeehrtester Herr Kriegs und ForstRath! /",auf Ew. Rahten / Geruhen Ew. H. die Verführung der unveränderlichen / ,,
72c,[1812-03-08],,von Triebenfeld,"Hochwohlgebohrner Herr, / Insonders hochzuverehrender Herr Krieges und",gehorsamster Diener / der Kreis Rath / Thiel / ad 12. Merz 1812.,,
72d,[1812-03-05],,,Warschau den 5t Maerz 1812. / Lieber Bruder / Ich eile dich zu benachr,"geht, kann ich Dir nicht mehr schreiben / Leb wol / dem Freund und Bei",,
72e,[1812-03-05],,,w Warszawie dnia 5 Marca [18]12. / Kochany Bracie! / Pospieszam z doni,Będąc zdrów / [k?]ony Bracie! / przyiaciela / B. Brzechsta,,
74a,[1811-07-30],,,Copia / Pro Fisco. / Summum periculum in mora,habenden Capitals der 50000 Rthl nebst Zinsen davon per Decretum für i,,
74c,[1811-08-01],,,Der Königl. Staats und Justiz Minister Herr von Kircheisen wird hierdu,richtigen Empfang auf die Ihnen davon vorzulegende Abschrift vollständ,,
74d,[1811-08-06],von Triebenfeld,,Was die Königl. General Invaliden Casse wider den König. Krieges und F,Herrn von Triebenfeld / zu Kontop bey Grüneberg / in Schlesien / Stoew,,
78,1798,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen","Durchleuchtigstes Fürst, / Gnädigster Fürst und Herr! / Euer hochfürst",Michaelis / Berlin / d 6. October / 1798,,
81,1798,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigster Fürst / Gnädigster Fürst und Herr. / So sehr der Her,Michaelis / Berlin / den 13. Octobr. / 1798,,
82,1798,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigster Fürst / Gnädigster Fürst u Herr / der Herr Minister ,Berlin den 13 Octo / 1798 / unterthäniger Diener / C. F.[?] G. Eysenha,,
83,1798.,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigster Fürst / Gnädigster Herr! / das von Ewr Hochfürstlich,"Gewis, daß die Franzosen Hannover nehmen wollen. / desfals sey der Kön",,
85,1798.,,,Abschrifft / Hochgebohrner Fürst! / Freundlich lieber Geim!,1798. / A Mon Cousin le Prince / de Hohenlohe Ingelfingen / à Breslau,,
86,Breslau den 7ten Decbr: 1798.,,König Friedrich Wilhelm III. von Preußen,Allerdurchlauchtigster / p. p. / Euer Majestät hätte ich für die in al,sie nur den Etatsmäsigen Ertrag gewähren. / Ich ersterbe / E. M. / Bre,,
87,Breslau den 7ten Dezbr 1798.,,,An den Herrn Obrist von Köckritz / Hochw. Herr p. / Der gewisse Gütert,"such ans Herz zu legen, damit ich keine fehlbitte gethan habe. / Es is",,
88,Breslau den 8ten Dezbr. 1798,,,Copia / An den Herrn Minister v. Voss / Hochwohlgebohrner,"gung abhängt unterstützen werden, als ich aufrichtig versichere / mit ",,
92,1798.,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen","Durchlauchtigſter Fürſt, / Gnädigſter Fürſt und Herr, / Die von Ew. Ho",1798. / unterthänigst treu gehet. / samſtes / Michaelis,,
94,1798.,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigster Fürst / Gnädigster Fürst und Herr! / Aus dem mit heu,1798. / ganz unterthänigſter treu. / gehorſamſter / Zartmo[?],,
101,"stät ich alleruntertänigst dringendst, beym Ende der Pacht 1800 Jhr",,König Friedrich Wilhelm III. von Preußen,Copia / Allerdurchlauchtigster / Des Fürsten von Hohenlohe anderweite ,"zugleich bitte ich auch von dem / Graf von Höym Bericht zu erfordern, ",,
109,[1801-01-31],,,"Lieber Freund! / Nach meiner Meinung mag der Kerl heißen wie und sei, ",Contrecarrire – Es wäre ja eine ewige Schande wann / Man meiner Frau d,,
112,ad 10. Febr. 1801.,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Verzeihen Ewr Hochfürstliche Durchlaucht diesen Nachtrag ich hatte / d,"Hochfürstliche Durchlaucht ihn recht ernstlich angehen, auch / es ſich",,
114,1802.,,von Triebenfeld,Hochwohlgebohren Herr / Gnädigster Herr KriegsRath! / doch ist ein abg,d. 2ten May / 1802. / unterthänigen Knecht / Frig[?],,
117,29. Febr. 1804.,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigster Fürst / Gnädigſter Fürſt und Herr! / Herr Weigel ist,ſendet / Ehe Weigel dies Schreiben nicht gab und ſich darin engagirt /,,
121,,,,(missing),(missing),,
122,1804.,von Triebenfeld,,Beigehendes Billet habe ich heute früh erhalten — Es war / aus Versehe,Sylbe erhalten. / Breslau d 6ten April / 1804. / v Triebenfeld,,
129,Breslau[?] d. 15ten May 1804.,von Triebenfeld,,Ich habe heute weder aus Berlin noch aus Franchfurth briefe. / Meine B,schicken ist heraus - jezt muß ich meine Geschäfte. / dern ich viel vo,,
132,den 23 May 1804.,von Triebenfeld,,Mein Theuerſter Freund / Da eben bin ich willens im Wagen zu steigen u,Ihr / Franckfurth a d h. / den 23 May 1804. / treu ergebenster Diener ,,
135,B[erlin?] den 22ten May 1804.,Stubenrauch,,Hochwohlgeborner H. / höchstgeehrter H Cammer Director / Als ich von d,"zu können, als diese Güter durch das vielfältigen ausbieten von Mädler",,
138,Ber[lin?] d. 3. July 1804,,,Durchleuchtigſter Fürſt / Gnädigster Fürst u Herr! / In der v. Broniew,E. Hochfürſtehen Durchlaucht / Ber[lin?] d. 3. July 1804 / Unterthänig,,
143,Berlin den 20. Octobr. 1804.,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigſter Fürſt! / Gnädigster Furst und Herr! / Ew. Hochfürstl,Er. Hochfürstlichen Durchlaucht / Untrachänigst gehorsampt dier. / Ber,,
144,[1804-11-03],,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchleuchtigster Fürst! / Gnädigster Fürst und Herr! / Ew. Hochfürstl,Er hochfürstlichen Sächleicht / Berlin den 3. Nov. 1834. / unterthänig,,
147,1804.,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigſter Fürſt / Gnädigster Herr! / Ich habe die mühseeligste,"Taxa nicht weiter fort kan, dem Dominio bleiben jezt bey / Wegberin mi",,
150,d. 27ten Nov. 1804,von Triebenfeld,,der Landes Altesen v. Lichnowski 11. schreibt d. d. 23. No. 1804. / an,Antwort. / die Pächter hätten nicht gezahlt — er würde befriedigt werd,,
153,12. Jan 1805,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigſter Fürſt / Gnädigster Fürst und Herr! / Die Anschaffung,"herrscht, und es das Ansehen hat als wären alle diese Gelder / mit sam",,
161,Berlin d. 9. Feb 1805,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigſter Fürſt! / Gündigste Fürst und Herr! / Ew. Hochfürstl.,E. Hochsturft. Durchlaucht / Berlin d. 9. Feb 1805 / unterthänigſter d,,
173,[1805-03-31],,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigſter Fürſt / Gnädigster Herr! / Der Bau Rath Gleich hat d,950 Rthl / folgen eheren / 50 Rthl / Die Schreib Materialien muße vor ,,
175,1805.,,von Triebenfeld,Hochwohlgebohrner Herr / Hochzuverehrender Herr Kriegs- und Forst Rath,Breslau d 2ten August / 1805. / unterthäniger Diener / A. Huhn,,
179a,[1806-04-25],,,Abschrift. / A / Summarische Übersicht derer von der König Kalischen K,"Sauldenwesens nöthig und nützlich sein wird, und wozu nach den / Geset",,
181,,,,(missing),(missing),,
183,[1806-05],,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Es ist hier ein Pasquill unter den Titel Preußischer Charaktüre erschi,iassenbach um der hiesige Profeßor Buch holz sein / Es erst völlig erw,,
186,[1810-08-29],von Triebenfeld,,Lieber Freund! / Die Sache mit H Weigel ist so gut als abgemacht - Er ,den 29ten Aug. / 1810. / Ihr wahrer Freund und Diener / v Triebenfeld,,
192,1806,,,Mein lieber Freund! / Es liegen in Berlin 360000 Rthl die mir zugesagt,das ist eine Sententz wofür die Hunde heulen mögten. / Ich werde nun g,,
197,1810.,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigſter Fürſt / Gnädigster Fürst und Herr! / Mein Richter kö,"des Fleisch und Consorten gewesen, um auch von Breslau wegzu¬ / ſcheuc",,
202,[1810-08-30],von Triebenfeld,,Lieber Freund / Vater Weigel ist sehr zu frieden von mich gegangen. Er,"verkaufe den geht es gleich nach kohlen, und das er sich zu verkauffen",,
203,1810,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigſter Fürſt / Gnädigster Fürst und Herr! / Ewr Hochfürstli,Geruhen Ewr Durchlaucht aber ja gründlich Ihre Meinung über alles / zu,,
207,Kalisz am 30ten Septr 1810.,von Triebenfeld,,Abschrift / Kalisz am 30ten Septr 1810. / Pro Memoria,laßen werden — für die Folge nichts - Mann läßt sie was jetzt in Pohle,,
223,Schlawenschitz den 4. Xbr 1811.,,von Triebenfeld,"Hochwohlgebohrner Herr, / Hochzuehrender Herr Krieges und ForstRath! /","schätzter Freund, die Länge dieser Epistel zu ver¬ / geben. Es ist die",,
224,[1811-12],,,"Hochwohlgeb. / Leider mußte ich bis heute Ew Hlr. Toten warten lassen,",wollen. / Geruhen die Sich von meiner wahren Anfänglichkeit stets / üb,,
225,,,,(missing),(missing),,
228,1812.,,,"P[ro]. M[emoria]. / Ew Durchleucht verfehle ich nicht, über den Erfolg",Ew Durchleucht Mißbilligung hat. / Schlawenschitz den 17 Januar / 1812,,
230,[1812-01],,von Triebenfeld,Hochwohlgebohrner Herr / Hochzuehrender Herr Kriegs und Forst Rath! / ,"sie geruhen, die Versicherungen der Hochachtung / an Anhänglichkeit an",,
231,Breslau d 9ten Januar 1812,,von Triebenfeld,Hochwohlgebohrner / hochzuverehrender Herr und Freund! / Vor einigen W,Ewr. Hochwohlgeb. / Breslau d 9ten Januar 1812 / ergebener Freund u. D,,
247,5. dem E. Aug. laut Urkunde und Verg. von 1799 - 18000,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigster Fürst / Gnädigster Fürst und Herr! / Auch Palens Sch,= 79462. / bleibe übrig. / 38 Rthl / NB die 180000 Rthl können sehr au,,
250,Wien d. 5ten November 1814.,,von Triebenfeld,Beylage zu der Brief von 17ten 9br. / Ewr Hochwohlgeboren gefälliges S,Wien d. 5ten November 1814. / Humboldt. / Andenherrn / Herrn v. Triebe,,
252,Wien den 25ten Novembr 1814.,,von Triebenfeld,Ewr Hochwohlgeboren berechrichtige ich auf Ihr Gesuch vom 25ten v. M. ,An / des Herrn Kriegesraths von Triebenfeld / Hochwohlgebornen / herr,,
257,darin d. 7. Oct. 1814,Gruemann[?],,Ew. Hochwolgeb. haben u. Ihrer Vorstellung vom 23. / Ors. d. J. bemerk,sodann gütigst zurückbeschikten. / Mich ganz ergebenst empfehlung / Gr,,
260,1814.,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Ewr Hochfürstliche Durchlaucht / hatte ich gestern die Ehren die nur v,"bey dieser genommen Theuerung hier an — zwar Freunde, die ich hier hat",,
261,d 13tn Decbr. 1814.,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchlauchtigster Fürst / Gnädigster Fürst und Herr! / Die festete Zus,vor alle mediatisirten besonders begünstiget - Ich fürchte für den Jck,,
262,1814.,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Durchläuchtigſter Fürſt / Gnädigster Fürst und Herr! / daß des Hören F,bey dh M v Humboldt Exc die Sache noch bestens einleiten könte - / den,,
264,Januar 1815,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Jezt Gnädigster Fürst und Herr etwas was ich wie in einen verschloßene,betrachtet werden / Schlawenschitz / Januar 1815 / [Locus Sigilli] F. ,,
265a,[1815-01-08],,von Triebenfeld,Hoch Wohlgeborner Herr / Höchstverehrter Herr Geheimer Staats Rath! / ,sein würde. / Ew. Hochwohlgeborn / Schlawenschitz / den 8ten Januar 18,,
265b,[1815-01-15],,von Triebenfeld,Hochwohlgeborner Herr / Höchstverehrter Herr General / der verstorbene,stets sein. / Ewr Hochwohlgeborn / Schlawenschitz / den 15ten Januar 1,,
278,d 12ten März 1815,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen",Copia / Durchlauchtigster Fürst p.p.p. / Auch ich erhielt mit lezter P,Brieg / d 12ten März 1815 / ganz unterthänigster / Eberhard,,
284,Wien d 27ten März 1815,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen","Durchlauchtigsten Fürst / Gnädiger Herr, / Ich glaubte gantz gewiß Ewr",Glück wäre dies - den da würden die Paten wohl bald herbey gerufen wer,,
285,1815.,,,P[ro]. M[emoria]. / Der König verlich 1796. dem Fürsten Hohenlohe die ,die Souverains haben den Försten entweder in Güter die baar zu entschi,,
286,1815.,,"Friedrich Ludwig, Fürst zu Hohenlohe-Ingelfingen","Durchlauchtigster Fürst, / Gnädigster Herr! / Die gegenwärtige Epoque ","eilig heckommen, um Unfälle abzunehren –? / Ein Tollers Stück ist noch",,
289,Wien den 5. May 1815,,von Triebenfeld,Hochwohlgeborner Herr / Hochverehrter Herr Geheimer Cabinets Rath / Eu,Wien den 5. May 1815 / ganz gehorsamste / v Triebenfeld / in des H. Ca,,
