name,occurs_in,correct_form
Abmachung,L276 p2,
Albrechts,L289 p2,
Allbrecht,L6 p1; L52 p1,
Amstetten,L274 p2; L279 p1; L286 p1,
Aprilen,L6 p1,
Arsprügel,L72f p2,
Assessor,L36 p8,
Auditoriat,L92 p1,
Baden,L136 p10; L242 p2; L269 p2; L276 p2 (+1 more),
Baier,L247 p2,
Baieren,L268 p2,
Balke,L266 p1,
Banden,L191 p8; L254 p2; L294 p2,
Beamten,L268 p2,
Bertherand,L277 p2,
Besichtigung,L72 p1; L106 p2; L228 p2,
Bettelhunder,L63 p1,
Bettelung,L104 p2,
Bevollmäch,L30 p1,
Bevollmächtig,L24 p1,
Bevollmächtigster,L265b p1,
Bevollmächtigte,L31 p2,
Bevollmächtigten,L135 p1,
Beyhm,L77 p1; L79 p2; L79 p3; L96 p3,
Biskupski,L136 p5,
Blitz,L204 p1,
Bodagra,L301 p1,
Brafurt,L298 p2,
Brandenstein,L133 p2; L140 p2; L140 p3; L140 p4,
Brandreich,L262 p3,
Branzenis,L163 p4,
Braun,L272 p3,
Braunschweig,L177 p7,
Bredow,L25 p1,
Breiten,L61 p1; L177 p5; L277 p1,
Broniewskisch,L138 p1,
Bruders,L262 p2,
Bucholz,L25 p1,
Bukowiecki,L109 p2,
Burensprung,L77 p3,
Burge,L140 p2,
Burgrath,L165 p2,
Cabineto,L52 p1,
Chełmski,L75 p3; L286 p3,
Choma,L17 p1,
Cöln,L93 p1; L99 p3,
Contenz,L31 p2,
Cote,L23 p1,
Czarnetzki,L303 p1,
Dąbrowski,L136 p11; L164 p4,
Danckelmann,L57 p2,
Dannemord,L247 p2,
Decke,L42 p7,
Delitz,L303 p2,
Deresemberg,L247 p2,
Direction,L18 p2,
Doct,L182 p1,
Dolfs,L177 p2,
Dorville,L26 p1,
Eberhardt,L4 p2; L11 p1; L203 p2; L206 p2 (+7 more),
Eckart,L106 p1,
Eichendorff,L303 p9,
Einteilung,L95 p2,
Elme,L35 p1,
Emilie,L199 p1; L223 p8; L272 p3,
Empuch,L39 p1,
Erfurth,L41 p1; L41 p3,
Erheblichkeit,L195 p1,
Erloffeln,L65 p1,
Erreichung,L128 p2; L191 p8; L223 p2; L223 p8,
Erstern,L164 p3,
Färber,L42 p2,
Faudel,L182 p1,
Feannert,L303 p1,
Finans,L179 p1,
Finantz,L162 p2,
Fischbach,L203 p2,
Fleckrühren,L44 p2,
Flesch,L195 p1; L196 p1; L196 p3; L197 p1,
Franderichs,L284 p3,
Fricis,L290 p2,
Fried,L207 p1,
Friedr,L303 p8,
Frischling,L298 p2,
Fruth,L273 p1,
Fullenbaum,L270 p2,
Fürſte,L286 p3,
Furstin,L74c p1,
Geistes,L33 p3,
Gemahlen,L2 p4,
Generalin,L27 p1,
Genl,L20 p3; L53 p1,
Gewerner,L241 p1,
Glinicki,L179a p1,
Gneiz,L241 p1,
Gneizenau,L239 p2; L241 p1,
Gniesenau,L59 p4,
Goeschel,L267 p1,
Göschet,L249 p2,
Götzen,L55 p2; L55 p3,
Gouv,L23 p1,
Gouver,L54 p3,
Grenoble,L4 p1; L279 p1; L279 p2; L282 p2,
Gumperts,L218 p3,
Habseeligkeiten,L190 p3,
Hallen,L191 p11,
Hauptmann,L80 p1,
Hegener,L197 p1,
Heidelburg,L36 p5,
Hellen,L179a p1; L188 p1,
Henckel,L55 p2,
Hénneberg,L303 p7,
Höchſtſerl,L87 p1,
Hofft,L253 p1,
Hofnung,L205 p2,
Hohlen,L214 p4,
Höhneln,L185 p1,
Holly,L303 p3,
Hoyok,L57 p2,
Husslarzewski,L162 p3,
Indult,L48 p1,
Jarnowski,L72a p2,
Jezierski,L28 p1,
Johanne,L21 p1,
Jordan,L268 p3,
Just,L276 p1,
Justizminister,L74a p2,
Kalckreuthern,L164 p1,
Kammern,L87 p2,
Kehr,L297 p4,
Keller,L182 p2,
Kirch,L268 p1,
Kirchen,L8 p1,
Kluge,L303 p1,
Knesebeck,L59 p3,
Knobelse,L203 p1,
Knobelu,L64 p3,
Knobloch,L99 p1,
Köchnen,L157 p2,
Konckerten,L41 p3,
Koopf,L303 p8,
Kreczinski,L155 p2,
Kriegesraths,L252 p1,
KriegsRath,L114 p1,
Krüger,L75 p2,
Krüter,L72f p3,
Kurnatowski,L297 p2; L299 p3,
Lämer,L46 p2,
Landen,L74a p2; L115 p2,
Landschafts,L205 p1,
Landtag,L274 p1,
