letter_id,date_iso,precision,source,basis_or_dateline,place,n_lines
1,1815-01-29,day,signature,1815,Schlawenschitz,46
1a,1815-02-12,day,supplied,supplied by researcher,Wien,26
2,1815-02-09,day,signature,Wun den 9ten Febr. 1815,Wien,113
3,1815-02-09,day,supplied,supplied by researcher,Wien[?],62
4,1815,year,signature,Wien d 19ten Mertz 1815 – Nun komm nach Eberhard,Wien,71
5,1816-01-27,day,signature,den 27ten Januar 1816,Blizanow,30
6,1815-05-06,day,signature,1815.,Wien,81
7,1815-03-20,day,signature,Breslau den 20ten März 1815.,Breslau,27
8,1815-03,inferred,inferred,between L7 (20 Mar 1815) and L10 (4 Mar 1815) - both March 1815,Wien[?],29
9,,unknown,none,letter missing/skipped in the archive,,2
10,1815-03-04,day,signature,Wien d. 4ten Merz 1815,Wien,56
11,1815,year,signature,1815.,Wien,69
12,1815-03-04,day,signature,4. Merz 1815,Wien[?],21
13,1815-02-21,day,signature,1815,Wien[?],52
14,1815-02-21,day,signature,Brzeg d 21ten Febr. 1815,Brieg,33
15,1815-02-19,day,signature,ad 19. Febr. 1815,Wien,73
16,1815-04-15,day,signature,1815.,Wien,51
17,1812-06-26,day,signature,26. Juni 1812,,93
18,1812-07-06,day,signature,den 6ten July 1812,Blizanow,89
19,1812-07-06,day,signature,2) 6. Juli 1812,,86
20,1809-03-07,day,signature,1809,Schlawenschitz,91
21,1810-02-18,day,signature,1810.,Kontop,40
22,1810-01-27,day,signature,1810,Kontop,107
23,1810-02-16,day,signature,1810,Kontop,133
24,1806-09-25,day,signature,1806.,Freyberg,110
25,1806-09-28,day,signature,1806.,Berlin,52
26,1806-10-28,day,signature,1806.,Breslau,73
27,1807-10-19,day,signature,1807,Breslau,56
28,1807-10-05,day,signature,1807.,Peisern,83
29,1808-02-10,day,signature,1808,Schlawenschitz,28
30,1808-03-14,day,signature,1808.,Berlin,82
31,1808-04-03,day,signature,Berlin den 3ten April 1808.,Berlin,128
32,1808-04-03,day,signature,den 3. April 1808,Berlin,100
33,1808-04-07,day,signature,Berlin den 7ten April 1808.,Berlin,89
34,1808-04-18,day,signature,1808.,Breslau,53
35,1808-04-25,day,signature,Berlin den 25ten April 1808,Berlin,93
36,1808-03-13,day,signature,[Öh?] 13 März 1808,Öhringen[?],293
37,1808-05-02,day,signature,Berlin d. 2ten May 1808,Berlin,38
38,1808-06-14,day,signature,1808.,Berlin,35
39,1808-07-02,day,signature,Berlin den 2ten July 1808,Berlin,31
40,1808-07-09,day,signature,1808.,Berlin,70
41,1808-09-20,day,signature,Ber[lin?] den 20ten 7br 1808,Berlin,103
42,1809-01-16,day,signature,1809.,Berlin,161
43,1809-01-30,day,signature,1809,Kontop,59
44,1809-02-03,day,signature,d. 3tn Februar 1809. nach Berlin.,,64
45,1809-02-18,day,signature,1809,Kontop,80
46,1809-03-02,day,signature,Berl. d 2 Marz 1809,Berlin,34
47,1809-03,month,supplied,supplied by researcher,Kontop[?],138
48,1809-03-07,day,signature,den 7ten Marz 1809.,Kontop,66
49,1809-03-20,day,signature,1809.,Kontop,34
50,1809-04-08,day,signature,1809.,Schlawenschitz,71
51,1809-04-21,day,signature,1809,Kontop,59
52,1809-05-03,day,signature,1809.,Königsberg,33
53,1809-05-13,day,signature,1809,Königsberg,63
54,1809-03-21,day,signature,1809.,Glogau,89
55,1809-04-12,day,signature,1809.,Breslau,121
56,1809-04-20,day,signature,1809.,Kontop,64
57,1809-05-07,day,signature,7ten May 1809.,Schweinern,116
58,1809-06-03,day,signature,Breslau den 3ten Juny 1809.,Breslau,84
59,1809-07-11,day,signature,d. 11ten July 1809.,Kontop,121
60,1809-08-04,day,signature,1809.,Kontop,102
61,1809-08-31,day,signature,1809.,Kontop,55
62,1809-09,inferred,inferred,between L61 (31 Aug 1809) and L64 (6 Dec 1809),Kontop[?],22
63,1809-12-16,day,supplied,supplied by researcher,,90
64,1809-12-06,day,signature,"v. Triebenfeld, 6 Xbr 1809",,186
65,1809-10-09,day,signature,Kontop d 9tn Octobr 1809.,Kontop,86
66,1809-12-16,day,signature,16. Xbr. 1809,Kontop,120
67,1812,year,signature,"Johanni 1812 dauern — Auch dies glaube ich nicht, dagegen wird",Kontop,103
68,1810-02-18,day,signature,1810.,Kontop,87
69,1810-02-26,day,signature,1810.,Kontop,28
70,1810-03-25,day,signature,1810.,Kontop,72
71,1810-03-30,day,signature,1810,Kontop,34
72,1812-02-23,day,supplied,supplied by researcher,,107
72a,1812-02-23,day,signature,part of letter 72 (see 72); separated from it after the scans showed two documents under one number,Kopojno,81
72b,1812-03-12,day,supplied,supplied by researcher,Blizanow,80
72c,1812-03-08,day,supplied,supplied by researcher,Kalisz,21
72d,1812-03-05,day,supplied,supplied by researcher,Warschau,14
72e,1812-03-05,day,supplied,supplied by researcher,Warschau,18
72f,1812-05-22,day,supplied,supplied by researcher,Kopojno,97
73,1812-01-27,day,signature,Schlawenzitz d 27ten Januar 1812,Schlawenschitz,112
74a,1811-07-30,day,supplied,supplied by researcher,Berlin,89
74b,1811-07,inferred,inferred,undated P.M. note bundled between 74a (30 Jul 1811) and 74c (1 Aug 1811),Berlin,15
74c,1811-08-01,day,supplied,supplied by researcher,Glogau,27
74d,1811-08-06,day,supplied,supplied by researcher,Berlin,33
75,1798-04-01,day,signature,1798.,Breslau,53
76,1798-08-23,day,signature,Breslau den 23ten Aug. 1798.,Breslau,19
77,1798-10-06,day,signature,Berlin d 6ten Octobr 1798,Berlin,72
78,1798-10-06,day,signature,1798,Berlin,66
79,1798-10-08,day,signature,1798.,Berlin,108
80,1798-10-09,day,signature,1798.,Berlin,27
81,1798-10-13,day,signature,1798,Berlin,30
82,1798-10-13,day,signature,1798,Berlin,32
83,1798-10-15,day,signature,1798.,Berlin,71
84,1798-10-20,day,signature,1798.,Berlin,55
85,1798-12-04,day,signature,1798.,Berlin,55
86,1798-12-07,day,signature,Breslau den 7ten Decbr: 1798.,Breslau,86
87,1798-12-07,day,signature,Breslau den 7ten Dezbr 1798.,Breslau,98
88,1798-12-08,day,signature,Breslau den 8ten Dezbr. 1798,Breslau,44
89,1798-12-12,day,signature,Berlin[?] d. 12ten Xbr 1798.,Berlin,174
90,1798-12-14,day,signature,Berlin d. 14ten Xbr 1798.,Berlin,27
91,1798-12-17,day,signature,1798.,Berlin,31
92,1798-12-18,day,signature,1798.,Berlin,21
93,1798-12,month,signature,Berlin d 18t Xbr 1798.,Berlin,67
94,1798-12-18,day,signature,1798.,Berlin,36
95,1798-12-29,day,signature,Berlin den 29ten Xbr 1798,Berlin,54
