letter,page,line_start,line_end,n_lines,image,status,confidence,note
1,1,20,64,45,Oe_1_Bu_9454_0001_b-L1_01.jpg,reviewed,ok,
1a,1,67,91,25,Oe_1_Bu_9454_0002_a-L1a_01.jpg,reviewed,ok,
2,1,94,118,25,Oe_1_Bu_9454_0002_b-L2_01.jpg,reviewed,ok,
2,2,120,147,28,Oe_1_Bu_9454_0003_a1-L2_02.jpg,reviewed,ok,
2,3,149,175,27,Oe_1_Bu_9454_0003_a2-L2_03.jpg,reviewed,ok,
2,4,177,205,29,Oe_1_Bu_9454_0004_a-L2_04.jpg,reviewed,ok,
3,1,208,236,29,Oe_1_Bu_9454_0004_b-L3_01.jpg,reviewed,ok,
3,2,238,268,31,Oe_1_Bu_9454_0005_a1-L3_02.jpg,reviewed,ok,
4,1,271,295,25,Oe_1_Bu_9454_0006_b-L4_01.jpg,reviewed,ok,
4,2,297,327,31,Oe_1_Bu_9454_0007_a1-L4_02.jpg,reviewed,ok,
4,3,329,340,12,Oe_1_Bu_9454_0007_a2-L4_03.jpg,reviewed,ok,
5,1,343,362,20,Oe_1_Bu_9454_0008_b-L5_01.jpg,reviewed,ok,
5,2,364,371,8,Oe_1_Bu_9454_0009_a1-L5_02.jpg,reviewed,ok,
6,1,374,395,22,Oe_1_Bu_9454_0010_a-L6_01.jpg,reviewed,ok,
6,2,397,420,24,Oe_1_Bu_9454_0011_a1-L6_02.jpg,reviewed,ok,
6,3,422,453,32,Oe_1_Bu_9454_0011_a2-L6_03.jpg,reviewed,ok,
7,1,456,465,10,Oe_1_Bu_9454_0012_b-L7_01.jpg,reviewed,ok,
7,2,467,481,15,Oe_1_Bu_9454_0013_a1-L7_02.jpg,reviewed,ok,
8,1,484,511,28,Oe_1_Bu_9454_0014_a-L8_01.jpg,reviewed,ok,
9,1,514,514,1,Oe_1_Bu_9454_0015_b-L9_01.jpg,auto,check,missing/skipped in the archive - no document to scan
10,1,517,545,29,Oe_1_Bu_9454_0016_a-L10_01.jpg,auto,check,
10,2,547,571,25,Oe_1_Bu_9454_0017_a1-L10_02.jpg,auto,check,
11,1,574,600,27,Oe_1_Bu_9454_0018_b-L11_01.jpg,auto,check,
11,2,602,635,34,Oe_1_Bu_9454_0019_a1-L11_02.jpg,auto,check,
11,3,637,641,5,Oe_1_Bu_9454_0019_a2-L11_03.jpg,auto,check,
12,1,644,663,20,Oe_1_Bu_9454_0020_b-L12_01.jpg,auto,check,
13,1,666,699,34,Oe_1_Bu_9454_0021_a-L13_01.jpg,auto,check,
13,2,701,716,16,Oe_1_Bu_9454_0021_b2-L13_02.jpg,auto,check,
14,1,719,750,32,Oe_1_Bu_9454_0022_a-L14_01.jpg,auto,check,
15,1,753,777,25,Oe_1_Bu_9454_0022_b-L15_01.jpg,auto,check,
15,2,779,798,20,Oe_1_Bu_9454_0023_a1-L15_02.jpg,auto,check,
15,3,800,824,25,Oe_1_Bu_9454_0023_a2-L15_03.jpg,auto,check,
16,1,827,851,25,Oe_1_Bu_9454_0024_b-L16_01.jpg,auto,check,
16,2,853,876,24,Oe_1_Bu_9454_0025_a1-L16_02.jpg,auto,check,
17,1,879,902,24,Oe_1_Bu_9454_0026_a-L17_01.jpg,auto,check,
17,2,904,923,20,Oe_1_Bu_9454_0027_a1-L17_02.jpg,auto,check,
17,3,925,944,20,Oe_1_Bu_9454_0027_a2-L17_03.jpg,auto,check,
17,4,946,970,25,Oe_1_Bu_9454_0028_a-L17_04.jpg,auto,check,
18,1,973,992,20,Oe_1_Bu_9454_0028_b-L18_01.jpg,auto,check,
18,2,994,1014,21,Oe_1_Bu_9454_0029_a1-L18_02.jpg,auto,check,
18,3,1016,1036,21,Oe_1_Bu_9454_0029_a2-L18_03.jpg,auto,check,
18,4,1038,1060,23,Oe_1_Bu_9454_0030_a-L18_04.jpg,auto,check,
19,1,1063,1083,21,Oe_1_Bu_9454_0030_b-L19_01.jpg,auto,check,
19,2,1085,1104,20,Oe_1_Bu_9454_0031_a1-L19_02.jpg,auto,check,
19,3,1106,1124,19,Oe_1_Bu_9454_0031_a2-L19_03.jpg,auto,check,
19,4,1126,1147,22,Oe_1_Bu_9454_0032_a-L19_04.jpg,auto,check,
20,1,1150,1180,31,Oe_1_Bu_9454_0032_b-L20_01.jpg,auto,check,
20,2,1182,1211,30,Oe_1_Bu_9454_0033_a1-L20_02.jpg,auto,check,
20,3,1213,1239,27,Oe_1_Bu_9454_0033_a2-L20_03.jpg,auto,check,
21,1,1242,1280,39,Oe_1_Bu_9454_0034_b-L21_01.jpg,auto,check,
22,1,1283,1303,21,Oe_1_Bu_9454_0035_a2-L22_01.jpg,auto,check,
22,2,1305,1329,25,Oe_1_Bu_9454_0036_a1-L22_02.jpg,auto,check,
22,3,1331,1355,25,Oe_1_Bu_9454_0036_a2-L22_03.jpg,auto,check,
22,4,1357,1388,32,Oe_1_Bu_9454_0037_a1-L22_04.jpg,auto,check,
23,1,1391,1423,33,Oe_1_Bu_9454_0038_a-L23_01.jpg,auto,check,
23,2,1425,1449,25,Oe_1_Bu_9454_0039_a1-L23_02.jpg,auto,check,
23,3,1451,1487,37,Oe_1_Bu_9454_0039_a2-L23_03.jpg,auto,check,
23,4,1489,1522,34,Oe_1_Bu_9454_0040_a-L23_04.jpg,auto,check,
24,1,1525,1556,32,Oe_1_Bu_9454_0040_b-L24_01.jpg,auto,check,
24,2,1558,1593,36,Oe_1_Bu_9454_0041_a2-L24_02.jpg,auto,check,
24,3,1595,1616,22,Oe_1_Bu_9454_0042_a1-L24_03.jpg,auto,check,
24,4,1618,1633,16,Oe_1_Bu_9454_0042_a2-L24_04.jpg,auto,check,
25,1,1636,1663,28,Oe_1_Bu_9454_0043_b-L25_01.jpg,auto,check,
25,2,1665,1686,22,Oe_1_Bu_9454_0044_a1-L25_02.jpg,auto,check,
26,1,1689,1708,20,Oe_1_Bu_9454_0045_a-L26_01.jpg,auto,check,
26,2,1710,1732,23,Oe_1_Bu_9454_0046_a1-L26_02.jpg,auto,check,
26,3,1734,1760,27,Oe_1_Bu_9454_0046_a2-L26_03.jpg,auto,check,
27,1,1763,1786,24,Oe_1_Bu_9454_0047_b-L27_01.jpg,auto,check,
27,2,1788,1817,30,Oe_1_Bu_9454_0048_a1-L27_02.jpg,auto,check,
28,1,1820,1840,21,Oe_1_Bu_9454_0049_b-L28_01.jpg,auto,check,
28,2,1842,1866,25,Oe_1_Bu_9454_0050_a1-L28_02.jpg,auto,check,
28,3,1868,1890,23,Oe_1_Bu_9454_0050_a2-L28_03.jpg,auto,check,
28,4,1892,1900,9,Oe_1_Bu_9454_0051_a-L28_04.jpg,auto,check,
29,1,1904,1914,11,Oe_1_Bu_9454_0051_b-L29_01.jpg,auto,check,
29,2,1916,1930,15,Oe_1_Bu_9454_0052_a1-L29_02.jpg,auto,check,
30,1,1933,1960,28,Oe_1_Bu_9454_0053_b-L30_01.jpg,auto,check,
30,2,1962,1986,25,Oe_1_Bu_9454_0054_a1-L30_02.jpg,auto,check,
30,3,1988,2013,26,Oe_1_Bu_9454_0054_a2-L30_03.jpg,auto,check,
31,1,2016,2042,27,Oe_1_Bu_9454_0055_b-L31_01.jpg,auto,check,
31,2,2044,2080,37,Oe_1_Bu_9454_0056_a1-L31_02.jpg,auto,check,
31,3,2082,2114,33,Oe_1_Bu_9454_0056_a2-L31_03.jpg,auto,check,
31,4,2116,2142,27,Oe_1_Bu_9454_0057_a-L31_04.jpg,auto,check,
32,1,2145,2188,44,Oe_1_Bu_9454_0057_b-L32_01.jpg,auto,check,
32,2,2190,2227,38,Oe_1_Bu_9454_0058_a1-L32_02.jpg,auto,check,
32,3,2229,2243,15,Oe_1_Bu_9454_0058_a2-L32_03.jpg,auto,check,
33,1,2246,2269,24,Oe_1_Bu_9454_0059_b-L33_01.jpg,auto,check,
33,2,2271,2296,26,Oe_1_Bu_9454_0060_a1-L33_02.jpg,auto,check,
33,3,2298,2333,36,Oe_1_Bu_9454_0060_a2-L33_03.jpg,auto,check,
34,1,2336,2360,25,Oe_1_Bu_9454_0061_b-L34_01.jpg,auto,check,
34,2,2362,2387,26,Oe_1_Bu_9454_0062_a1-L34_02.jpg,auto,check,
35,1,2390,2413,24,Oe_1_Bu_9454_0063_b-L35_01.jpg,auto,check,
35,2,2415,2442,28,Oe_1_Bu_9454_0064_a1-L35_02.jpg,auto,check,
35,3,2444,2481,38,Oe_1_Bu_9454_0064_a2-L35_03.jpg,auto,check,
36,1,2484,2518,35,Oe_1_Bu_9454_0065_b-L36_01.jpg,auto,check,
36,2,2520,2553,34,Oe_1_Bu_9454_0066_a1-L36_02.jpg,auto,check,
36,3,2555,2584,30,Oe_1_Bu_9454_0066_a2-L36_03.jpg,auto,check,
36,4,2586,2624,39,Oe_1_Bu_9454_0067_a-L36_04.jpg,auto,check,
36,5,2626,2662,37,Oe_1_Bu_9454_0067_b-L36_05.jpg,auto,check,
36,6,2664,2698,35,Oe_1_Bu_9454_0068_a1-L36_06.jpg,auto,check,
36,7,2700,2733,34,Oe_1_Bu_9454_0068_a2-L36_07.jpg,auto,check,
36,8,2735,2775,41,Oe_1_Bu_9454_0069_a-L36_08.jpg,auto,check,
37,1,2778,2800,23,Oe_1_Bu_9454_0069_b-L37_01.jpg,auto,check,
37,2,2802,2814,13,Oe_1_Bu_9454_0070_a1-L37_02.jpg,auto,check,
38,1,2817,2850,34,Oe_1_Bu_9454_0071_b-L38_01.jpg,auto,check,
39,1,2853,2882,30,Oe_1_Bu_9454_0072_b-L39_01.jpg,auto,check,
40,1,2885,2913,29,Oe_1_Bu_9454_0073_b-L40_01.jpg,auto,check,
40,2,2915,2953,39,Oe_1_Bu_9454_0074_a1-L40_02.jpg,auto,check,
41,1,2956,2975,20,Oe_1_Bu_9454_0075_b-L41_01.jpg,auto,check,
41,2,2977,3000,24,Oe_1_Bu_9454_0076_a1-L41_02.jpg,auto,check,
41,3,3002,3026,25,Oe_1_Bu_9454_0076_a2-L41_03.jpg,auto,check,
41,4,3028,3057,30,Oe_1_Bu_9454_0077_a-L41_04.jpg,auto,check,
42,1,3060,3079,20,Oe_1_Bu_9454_0077_b-L42_01.jpg,auto,check,
42,2,3081,3101,21,Oe_1_Bu_9454_0078_a1-L42_02.jpg,auto,check,
42,3,3103,3127,25,Oe_1_Bu_9454_0078_a2-L42_03.jpg,auto,check,
42,4,3129,3150,22,Oe_1_Bu_9454_0079_a-L42_04.jpg,auto,check,
42,5,3152,3172,21,Oe_1_Bu_9454_0079_b-L42_05.jpg,auto,check,
42,6,3174,3194,21,Oe_1_Bu_9454_0080_a1-L42_06.jpg,auto,check,
42,7,3196,3219,24,Oe_1_Bu_9454_0080_a2-L42_07.jpg,auto,check,
43,1,3222,3247,26,Oe_1_Bu_9454_0081_b-L43_01.jpg,auto,check,
43,2,3249,3279,31,Oe_1_Bu_9454_0082_a1-L43_02.jpg,auto,check,
44,1,3282,3316,35,Oe_1_Bu_9454_0083_b-L44_01.jpg,auto,check,
44,2,3318,3344,27,Oe_1_Bu_9454_0084_a1-L44_02.jpg,auto,check,
45,1,3347,3368,22,Oe_1_Bu_9454_0085_b-L45_01.jpg,auto,check,
45,2,3370,3394,25,Oe_1_Bu_9454_0086_a1-L45_02.jpg,auto,check,
45,3,3396,3425,30,Oe_1_Bu_9454_0086_a2-L45_03.jpg,auto,check,
46,1,3428,3448,21,Oe_1_Bu_9454_0087_b-L46_01.jpg,auto,check,
46,2,3450,3460,11,Oe_1_Bu_9454_0088_a1-L46_02.jpg,auto,check,
47,1,3463,3489,27,Oe_1_Bu_9454_0089_b-L47_01.jpg,auto,check,
47,2,3491,3518,28,Oe_1_Bu_9454_0090_a1-L47_02.jpg,auto,check,
47,3,3520,3548,29,Oe_1_Bu_9454_0090_a2-L47_03.jpg,auto,check,
47,4,3550,3576,27,Oe_1_Bu_9454_0091_a-L47_04.jpg,auto,check,
47,5,3578,3599,22,Oe_1_Bu_9454_0091_b-L47_05.jpg,auto,check,
48,1,3602,3627,26,Oe_1_Bu_9454_0092_a-L48_01.jpg,auto,check,
48,2,3629,3666,38,Oe_1_Bu_9454_0093_a-L48_02.jpg,auto,check,
49,1,3669,3701,33,Oe_1_Bu_9454_0094_a1-L49_01.jpg,auto,check,
50,1,3704,3740,37,Oe_1_Bu_9454_0095_b-L50_01.jpg,auto,check,
50,2,3742,3773,32,Oe_1_Bu_9454_0096_a1-L50_02.jpg,auto,check,
51,1,3776,3797,22,Oe_1_Bu_9454_0097_b-L51_01.jpg,auto,check,
51,2,3799,3833,35,Oe_1_Bu_9454_0098_a1-L51_02.jpg,auto,check,
52,1,3836,3867,32,Oe_1_Bu_9454_0099_b-L52_01.jpg,auto,check,
53,1,3870,3895,26,Oe_1_Bu_9454_0100_b-L53_01.jpg,auto,check,
53,2,3897,3931,35,Oe_1_Bu_9454_0101_a1-L53_02.jpg,auto,check,
54,1,3934,3957,24,Oe_1_Bu_9454_0102_b-L54_01.jpg,auto,check,
54,2,3959,3985,27,Oe_1_Bu_9454_0103_a1-L54_02.jpg,auto,check,
54,3,3987,4021,35,Oe_1_Bu_9454_0103_a2-L54_03.jpg,auto,check,
55,1,4024,4049,26,Oe_1_Bu_9454_0104_b-L55_01.jpg,auto,check,
55,2,4051,4084,34,Oe_1_Bu_9454_0105_a1-L55_02.jpg,auto,check,
55,3,4086,4117,32,Oe_1_Bu_9454_0105_a2-L55_03.jpg,auto,check,
55,4,4119,4143,25,Oe_1_Bu_9454_0106_a-L55_04.jpg,auto,check,
56,1,4146,4171,26,Oe_1_Bu_9454_0106_b-L56_01.jpg,auto,check,
56,2,4173,4187,15,Oe_1_Bu_9454_0107_a1-L56_02.jpg,auto,check,
56,3,4189,4208,20,Oe_1_Bu_9454_0107_a2-L56_03.jpg,auto,check,
57,1,4211,4235,25,Oe_1_Bu_9454_0108_b-L57_01.jpg,auto,check,
57,2,4237,4263,27,Oe_1_Bu_9454_0109_a1-L57_02.jpg,auto,check,
57,3,4265,4291,27,Oe_1_Bu_9454_0109_a2-L57_03.jpg,auto,check,
57,4,4293,4325,33,Oe_1_Bu_9454_0110_a-L57_04.jpg,auto,check,
58,1,4328,4351,24,Oe_1_Bu_9454_0110_b-L58_01.jpg,auto,check,
58,2,4353,4377,25,Oe_1_Bu_9454_0111_a1-L58_02.jpg,auto,check,
58,3,4379,4410,32,Oe_1_Bu_9454_0111_a2-L58_03.jpg,auto,check,
59,1,4413,4435,23,Oe_1_Bu_9454_0112_b-L59_01.jpg,auto,check,
59,2,4437,4464,28,Oe_1_Bu_9454_0113_a1-L59_02.jpg,auto,check,
59,3,4466,4495,30,Oe_1_Bu_9454_0113_a2-L59_03.jpg,auto,check,
59,4,4497,4532,36,Oe_1_Bu_9454_0114_a-L59_04.jpg,auto,check,
60,1,4535,4558,24,Oe_1_Bu_9454_0114_b-L60_01.jpg,auto,check,
60,2,4560,4588,29,Oe_1_Bu_9454_0115_a1-L60_02.jpg,auto,check,
60,3,4590,4617,28,Oe_1_Bu_9454_0115_a2-L60_03.jpg,auto,check,
60,4,4619,4635,17,Oe_1_Bu_9454_0116_a-L60_04.jpg,auto,check,
61,1,4638,4661,24,Oe_1_Bu_9454_0116_b-L61_01.jpg,auto,check,
61,2,4663,4691,29,Oe_1_Bu_9454_0117_a-L61_02.jpg,auto,check,
62,1,4694,4714,21,Oe_1_Bu_9454_0117_b-L62_01.jpg,auto,check,
63,1,4717,4737,21,Oe_1_Bu_9454_0118_a-L63_01.jpg,auto,check,
63,2,4739,4761,23,Oe_1_Bu_9454_0119_a1-L63_02.jpg,auto,check,
63,3,4763,4783,21,Oe_1_Bu_9454_0119_a2-L63_03.jpg,auto,check,
63,4,4785,4805,21,Oe_1_Bu_9454_0120_a-L63_04.jpg,auto,check,
64,1,4808,4838,31,Oe_1_Bu_9454_0120_b-L64_01.jpg,auto,check,
64,2,4840,4880,41,Oe_1_Bu_9454_0121_a2-L64_02.jpg,auto,check,
64,3,4882,4934,53,Oe_1_Bu_9454_0122_a1-L64_03.jpg,auto,check,
64,4,4936,4961,26,Oe_1_Bu_9454_0123_a2-L64_04.jpg,auto,check,
64,5,4963,4972,10,Oe_1_Bu_9454_0124_a1-L64_05.jpg,auto,check,
64,6,4974,4992,19,Oe_1_Bu_9454_0124_a2-L64_06.jpg,auto,check,
65,1,4995,5018,24,Oe_1_Bu_9454_0125_a-L65_01.jpg,auto,check,
65,2,5020,5048,29,Oe_1_Bu_9454_0126_a1-L65_02.jpg,auto,check,
65,3,5050,5079,30,Oe_1_Bu_9454_0126_a2-L65_03.jpg,auto,check,
66,1,5082,5104,23,Oe_1_Bu_9454_0127_a-L66_01.jpg,auto,check,
66,2,5106,5126,21,Oe_1_Bu_9454_0128_a1-L66_02.jpg,auto,check,
66,3,5128,5156,29,Oe_1_Bu_9454_0128_a2-L66_03.jpg,auto,check,
66,4,5158,5186,29,Oe_1_Bu_9454_0129_a-L66_04.jpg,auto,check,
